t_s,pressure_Pa,flow_ml_min,temp_C,motor_on
0.48,114,2.87,27.0,0
0.95,113,2.86,27.05,0
1.43,112,2.73,27.07,0
1.91,112,2.57,27.03,0
2.41,113,2.53,27.04,0
2.91,113,2.52,27.08,0
3.42,112,2.5,27.05,0
3.91,112,2.52,27.07,0
4.42,111,2.38,27.07,0
4.92,111,2.31,27.04,0
5.42,113,2.14,27.01,0
5.92,113,2.15,27.02,0
6.42,113,2.16,26.98,0
6.92,112,2.14,26.98,0
7.41,113,1.98,27.03,0
7.92,113,1.92,26.98,0
8.42,113,1.94,26.95,0
8.92,114,1.8,26.9,0
9.42,115,1.76,26.92,0
9.92,116,1.63,26.91,0
10.42,114,1.6,26.9,0
10.92,115,1.66,26.87,0
11.42,116,1.66,26.84,0
11.92,115,1.8,26.91,1
12.42,115,1.91,26.88,1
12.92,115,2.07,26.93,1
13.42,116,2.27,26.93,1
13.92,116,2.32,26.97,1
14.42,115,2.5,27.03,1
14.92,114,2.58,27.07,1
15.42,113,2.68,27.1,1
15.92,113,2.74,27.17,1
16.42,113,2.78,27.19,1
16.92,113,2.83,27.21,1
17.42,113,3.0,27.26,1
